player_name,team,save_percentage,goals_against_avg,games_played,shutouts,team_full
Elaine Chuli,MTL,0.949,1.61,8,0,Montreal
Erica Howe,TOR,0.921,1.89,3,0,Toronto
Aerin Frankel,BOS,0.931,1.94,16,1,Boston
Nicole Hensley,MIN,0.925,1.97,12,1,Minnesota
Maddie Rooney,MIN,0.920,1.97,9,2,Minnesota
Kristen Campbell,TOR,0.922,2.06,19,3,Toronto
Emerance Maschmeyer,OTT,0.918,2.20,19,2,Ottawa
Corinne Schroeder,NY,0.936,2.22,13,1,New York
Ann-Renée Desbiens,MTL,0.918,2.35,13,0,Montreal
Abigail Levy,NY,0.922,2.55,7,0,New York
Emma Söderberg,BOS,0.884,2.81,7,0,Boston
Sandra Abstreiter,OTT,0.913,3.08,3,0,Ottawa
